px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
7.43134	-5.19569	-2.80056	2.19852	0.473676	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	1.595
7.50429	-5.34285	-2.81125	2.20184	0.447823	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	0.848814
7.58131	-5.47964	-2.80681	2.20756	0.423198	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0.774719
7.66584	-5.61395	-2.81211	2.22016	0.41107	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	0.183204
7.73136	-5.74375	-2.78742	2.21601	0.375674	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	1.72633
7.80428	-5.88381	-2.79215	2.21557	0.352238	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	0.557293
7.91732	-6.01613	-2.8718	2.25595	0.394305	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	11.7358
7.99422	-6.14794	-2.88099	2.25611	0.3722	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	0.58202
8.07879	-6.279	-2.86433	2.2575	0.346271	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	1.69139
8.17299	-6.40988	-2.8686	2.26753	0.336102	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0.116697
8.24687	-6.53577	-2.8417	2.26266	0.306217	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	1.81154
8.32513	-6.67664	-2.84585	2.25596	0.280203	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	0.58851
8.40771	-6.80425	-2.83807	2.25686	0.263286	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	0.494792
8.49369	-6.93377	-2.83803	2.25884	0.249671	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0.171512
8.56059	-7.04823	-2.81753	2.25227	0.225936	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	1.16673
8.62637	-7.17834	-2.82047	2.23966	0.199838	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	0.600806
8.73123	-7.30954	-2.88198	2.25848	0.219717	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	7.24878
8.80006	-7.44694	-2.88885	2.24304	0.190802	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	0.766389
8.85643	-7.57529	-2.82726	2.21621	0.138918	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	9.29401
8.92715	-7.71557	-2.82715	2.2026	0.115905	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	0.478966
8.99968	-7.84099	-2.83255	2.1971	0.104529	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	0.399331
9.0549	-7.97783	-2.83436	2.17554	0.0756321	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	0.743053
9.0843	-8.10587	-2.75811	2.13107	0.00743373	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	11.9075
9.14408	-8.2426	-2.75408	2.11558	-0.00960284	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0.40013
9.21527	-8.37089	-2.77082	2.11339	-0.00781721	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	0.634446
9.25772	-8.50792	-2.77125	2.08758	-0.0348449	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	0.725366
9.28513	-8.64579	-2.71795	2.04011	-0.0994899	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	7.25174
9.33214	-8.78405	-2.71294	2.02045	-0.114594	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0.418352
9.48535	-8.91508	-2.84609	2.11133	0.0345771	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	43.9729
